recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
air fryer potato slice dipping sauce,air fryer recipe,air fryer recipe,air fryer potato slice served beer ketchup dipping sauce tasty finger food somewhere french fry potato chip take time make dipping sauceits worth,34 ketchup 12 beer 1 worcestershire sauce 12 onion powder 14 cayenne 2 baking potato olive oil cooking spray 12 garlic powder salt freshly black pepper,combine ketchup beer worcestershire sauce onion powder cayenne small saucepan bring boil reduce heat simmer 3 5 minute remove heat cool cover store refrigerator ready use preheat air fryer 400 degree f 200 degree c spray basket cooking spray line disposable parchment liner slice potato 14inch thick use mandoline one place bowl spray potato olive oil spray sprinkle garlic powder salt pepper give potato good stir place potato single layer air fryer cook shaking occasionally start crisp bit turn golden brown 14 17 minute cooking time vary depending brand size fryer may cook batch remove fryer serve beer ketchup dipping sauce,9,5
gochujang pork belly bite,air fryer recipe,air fryer recipe,gochujang pork belly bite sweet spicy crispy crunchy absolutely delicious whether finish gochujang sauce air fryer dip sauce end irresistibly good,1 pound pork belly 14 gochujang 2 soy sauce 1 honey 1 ginger,preheat air fryer 400 degree f 200 degree c place pork belly piece basket single layer touching air fry 8 9 minute turn air fry 6 7 minute meanwhile sauce stir gochujang soy sauce hot honey ginger together medium bowl remove pork belly air fryer basket toss sauce coat return air fryer fry bite begin char edge 8 11 minute alternately use sauce dipping case continue fry without removing bite begin char 6 7 minute,5,4
3ingredient air fryer everything bagel chicken strip,air fryer recipe,air fryer recipe,3ingredient air fryer everything bagel chicken strip simple flavorful delicious chicken tender easy cook easy wow 5 minute prep time 3 ingredient quick fry air fryer dinner ready well half hour goto dipping sauce ranch dressing brown gravy tartar sauce made dill relish,1 u00bc pound chicken tender 1 olive oil 13 everything bagel seasoning taste,gather ingredient preheat air fryer 400 degree f 200 degree c according manufacturer instruction place tender bowl add oil toss coat add everything seasoning toss coat place tender air fryer basket single layer cook batch necessary cook longer pink center juice run clear 12 minute instant read thermometer inserted near center read least 165 degree f 74 degree c transfer serving plate serve desired dipping sauce,3,4
air fryer everything bagel chicken cutlet,air fryer recipe,air fryer recipe,air fryer everything bagel chicken cutlet breaded everythingseasoned panko breadcrumb air fried drizzled spicysweet ginger garlic sauce,4 chicken cutlet 1 pound total salt freshly black pepper taste 34 flour 2 large egg 2 milk 3 ablespoons verything bagel seasoning 1 12 panko breadcrumb olive oil cooking spray parchment,preheat air fryer 400 degree f 200 degree c according manufacturer instruction pat chicken cutlet dry paper towel season lightly salt pepper place flour resealable plastic bag set aside beat egg milk well blended shallow bowl plate stir everything bagel seasoning panko together add cutlet bag flour seal bag toss cutlet coated working 1 cutlet time shake extra flour dip cutlet egg mixture shake excess press cutlet panko mixture turn press crumb side adhere place breaded cutlet sheet parchment continue cutlet coated generously spray cutlet olive oil spray side place cutlet air fryer single layer working batch needed air fry 8 12 minute turning halfway desired thin cutlet take less time thick cutlet take instant read thermometer inserted near center read 165 degree f 74 degree c meanwhile glaze combine rice vinegar water brown sugar sriracha ginger garlic soy sauce small saucepan bring boil medium heat reduce heat simmer barely thickened 3 5 minute drizzle cutlet glaze serve warm garnish fresh parsley sprig,9,9
air fryer honey sriracha salmon bite,air fryer recipe,air fryer recipe,air fryer honey sriracha salmon bite cube salmon lightly seasoned salt pepper olive oil touch sriracha air fried crispy perfection drizzled bold sticky honeysriracha sauce bite perfect appetizer rice bowl topping paired side roasted vegetable,1 soy sauce 1 honey 1 sriracha 1 rice vinegar 14 granulated garlic,preheat air fryer 400 degree f 200 degree c whisk soy sauce honey 1 sriracha rice vinegar granulated garlic together small bowl set aside pat salmon dry cut 1 12inch cube toss salmon olive oil 12 sriracha salt pepper spray basket air fryer cooking spray place seasoned salmon basket air fryer working batch avoid overcrowding necessary cook preheated air fryer 4 minute gently turn salmon piece cook salmon flake easily fork 3 4 minute place serving platter drizzle honeysriracha sauce garnish green onion sesame seed serve immediately,5,5
air fryer corn cob,air fryer recipe,air fryer recipe,air fryer corn cob super quick make full sweet roasted corn flavor like roll mayo chili powder lime juice cotija flavor get crispy mexican street corn without fire grill,u00bc mayonnaise 2 crumbled cotija cheese 1 lime juice u00bc chili powder 2 ear corn shucked halved 4 sprig fresh cilantro taste optional,preheat air fryer 400 degree f 200 degree c mix mayonnaise cotija cheese lime juice chili powder shallow dish roll piece corn mayonnaise mixture side covered place 4 piece corn air fryer basket cook preheated air fryer golden crisp tender 8 minute garnish cilantro,6,4
air fryer peanut chicken,air fryer recipe,air fryer recipe,air fryer peanut chicken recipe boneless skinless chicken thigh marinated spicysweet peanut marinade rice noodle work dish cut bitesized piece serve salad,2 thai sweet chili sauce 1 soy sauce 1 sriracha 1 lime zested juiced 1 granulated garlic 1 fresh ginger 13 creamy peanut butter salt taste 6 skinless boneless chicken thigh cooking spray 2 cooked rice needed cilantro dryroasted peanut,combine chili sauce soy sauce sriracha lime zest lime juice granulated garlic ginger peanut butter salt taste large resealable plastic bag gently move mash ingredient inside bag well blended add chicken bag squeeze much air possible move chicken around inside bag piece coated marinade marinate refrigerator least 30 minute 24 hour preheat air fryer 350 degree f 180 degree c according manufacturer recommendation spray cooking surface air fryer cooking spray take chicken piece bag allow marinade drip back bag place chicken piece air fryer single layer air fry 20 22 minute turning halfway instantread thermometer inserted near center read 165 degree f 74 degree c meanwhile add 12 water unused marinade mix content pour microwavesafe container microwave high marinade come boil cook 1 minute longer watch carefully see boil serve chicken rice sauce side dip garnish cilantro sliced scallion julienne cucumber carrot peanut desired,13,7
air fryer crispy onion,air fryer recipe,air fryer recipe,air fryer crispy onion delicious steak burger side dish plus might easiest way achieve golden crispy onion ever,14 flour 12 cayenne pepper 14 salt taste 1 onion cooking spray,preheat air fryer 375 degree f 190 degree c according manufacturer instruction combine flour cayenne pepper salt bowl add onion slice toss well coated place onion basket spray avocado oil air fry golden brown 18 23 minute shaking basket every 4 5 minute,5,3
air fryer hot honey glazed carrot,air fryer recipe,air fryer recipe,air fryer hot honey glazed carrot delicious side dish easy make 3 ingredientsbaby carrot hot honey butter,nonstick cooking spray 2 butter 3 hot honey mike hot honeyu00ae 1 pound baby carrot,preheat air fryer 400 degree f 200 degree c spray basket nonstick spray combine butter hot honey bowl add carrot toss coat place carrot air fryer basket allowing excess sauce drip set bowl remaining sauce aside cook preheated air fryer tossing every 7 minute carrot roasted forktender 15 22 minute toss cooked carrot reserved sauce,4,3
air fryer sauteed onion,air fryer recipe,air fryer recipe,air fryer sauteed onion add lot burger sandwich taco fajitas even rice mashed potato like topping steaksthe possibility endless,1 large onion 1 12 olive oil salt freshly black pepper,preheat air fryer 400 degree f 200 degree c place onion petal olive oil bowl season salt pepper toss coat pour mixture basket air fryer cook 10 minute shake basket cook 2 minute,3,3
air fryer pasta taco,air fryer recipe,air fryer recipe,air fryer pasta taco fusion manicotti taco pasta shell filled taco seasoned beef cheese coated crushed tortilla chip air fried crunchy savory pasta taco,1 8 ounce box manicotti pasta 1 pound beef 1 packet taco seasoning 4 ounce green chile 1 10 ounce tomato green chile rotelu00ae drained 2 cheddar cheese 3 large egg 2 milk halfandhalf 3 tortilla chip salsa hot sauce sour cream andor guacamole,bring large pot salted water boil add pasta cook 6 minute drain rinse cold water set aside heat nonstick skillet mediumhigh heat add beef cook crumbling spoon evenly browned 7 minute add taco seasoning green chile rotel stir scraping browned bit bottom pan remove heat stir cheddar cheese fill pasta shell beef mixture freeze least 30 minute 1 hour meanwhile whisk together egg milk shallow dish place crushed tortilla chip second shallow dish lighty coat filled pasta egg wash coat crushed crumb pressing lightly adhere necessary preheat air fryer 400 degree f 200 degree c according manufacturer instruction working 2 batch air fry pasta taco 10 12 minute serve desired topping,10,7
